gene	S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9
CAGL0A00385g	3.0597809188546	2.81715199904984	2.3631748670134	2.68428858699848	2.57930056639641	1.84924826858616	2.21330051994347	2.83265659749565	2.05116323718809	2.42416014959367	3.09949753228208	3.77331531854269	3.01693891466659	3.07303567251282	3.59489899948867	2.89084892681946	3.7018814890018	3.47973261085641	4.0063486692077	3.89833059301422	3.55520835248211	3.51901463703887	3.99115347604728	4.30842813337129	3.71471211626829	3.76833283138924	4.37979086179161	3.68037782904091	3.96795553952078	4.5130716011551	4.19818419713832	3.70154853295174	3.544933835951	4.41279884687189	4.53798357115428	4.22700816138162	4.27554520253786	3.22196940101024	3.05590128041844	3.11181018278818
CAGL0A00407g	8.52584654422567	8.58435056890957	8.65091074853991	8.49681015808434	8.58703043123487	8.53203567007004	8.43130135690024	8.40799272018429	8.41953852409735	8.35431190334478	8.35765639423202	7.83523509219783	8.18640544931979	8.30875872770643	8.40251797034049	8.27914782105792	8.06790288227073	8.31264823282851	7.89549494293208	7.8588529179384	8.20116789380748	8.06339578773133	7.70457381339973	7.77236715312773	8.02450571062369	8.00341905280984	7.66015142385257	8.0385138639264	7.80279066441914	7.47739278385264	7.82304536395875	7.85027012044302	7.75620613574228	7.84387094635825	7.73527141207202	8.09996141027789	7.95439828522512	8.62878591861248	8.42946206778829	8.63903058241808
CAGL0A00429g	7.91175135262633	7.92844596818229	7.94691313526868	7.7824204433063	7.78126377240327	7.55581852290527	7.81705115492099	7.76709331379622	7.60646388359973	7.35929212834164	7.67574628210523	8.79138523374124	7.59797065645747	7.56289271748985	7.55357207717277	7.29837872835565	7.40228930357491	7.49098475945671	7.3206439303695	7.3868388202152	7.36330218452281	7.18737431982018	7.17896785544619	8.57352133738283	7.32004812182358	7.15033283929699	7.37042236085017	7.31016281012273	7.13689983017193	7.24957154292588	7.1596943761538	8.40815169866501	8.5231084070906	8.69659396340573	8.59575938109698	8.5037130195997	8.4978870328701	8.15745491363044	8.16367528975114	8.06347509176651
CAGL0A00451g	6.71897930001893	7.38400036025816	6.93841705037697	6.89370391067991	7.12461301665494	7.04298733139361	7.26678062462073	7.16049033632771	7.232743146386	7.28287488081716	6.97505103968872	7.04651575627733	7.01753883621702	7.00236701907492	7.16874633501691	7.22672775370111	7.08398954082955	6.91434126115746	7.03495054199673	7.20877208372689	7.01162513204612	7.20791568563276	7.0064942183728	6.76117350158225	7.02202979113995	6.65294174085774	6.93898515039255	6.8764555485659	7.02489008700539	7.00056168262674	6.99464315559286	6.5467853938712	6.69791031154938	7.24144348780708	6.66091684101378	6.7963249600089	6.74216460629497	7.78731296406573	7.22860733276886	7.07001656302264
CAGL0A00473g	6.24491179205562	6.57145997588703	6.36181345161764	6.62311621196222	6.60490377788705	6.60805238351342	6.90100809714985	6.83128616418515	6.87294492282149	7.06059487044438	6.72164718683286	7.04651575627733	6.96368299166446	6.8942732050659	7.0481075520555	7.09133337067199	6.78291713170703	6.89012475477956	6.64539877942605	6.79763888865905	6.72656100555301	6.90112740682023	6.61163279138289	7.25799986174426	6.76096729227305	6.65294174085774	6.66168337019992	6.76417245731236	6.83497673874734	6.65132595199764	6.70454228012641	7.05216635477301	7.27234877877855	7.1694013699279	7.11440658021889	6.93274164270018	7.00932040542598	6.56345446135754	6.52308980672027	6.5202919143794
CAGL0A00495g	11.9819515205453	11.6231807993932	11.9717536945868	12.0855196800621	12.2751972489997	12.1538461622251	12.0616304556691	12.2449028136876	12.1945775081264	12.3176651764134	12.1209195346913	12.2908751529698	12.1712423916069	12.2073692067438	12.3925919610452	12.450247038921	12.628039734817	12.2906250921224	12.6841610992353	12.8830639343738	12.5310163880562	12.2858392981916	12.7462305312152	12.1056573636765	12.7692108445442	11.678825890865	12.3920985219748	12.5497332901689	12.4356623660102	12.9073622544408	12.4888420835726	12.1614668458779	12.323067593899	12.2779881197379	12.3981510488212	12.0801706008793	12.1571892461665	11.6758413548888	11.8012209254971	11.9203462071249
CAGL0A00517g	7.77703983339529	7.95656789059419	7.76151281515037	8.2809373289669	8.13184782341584	8.42166899575503	8.19208169286588	8.19686729721754	8.21272874753454	8.32761510562805	8.01893923985389	6.00428950608494	8.32321268056076	8.32057177608041	8.24083754004484	8.31221755426998	8.29665636561631	7.88086078544377	8.11899174081106	7.98430708306645	7.67523365303541	7.81021317933156	8.20321921108599	6.92707819562552	7.74010335131489	8.16871637621253	7.8771024706727	7.5243933088998	7.68420445720326	7.94057073558373	7.63263527803873	7.21837990623869	7.12961191732097	6.63559572761609	6.62450139874911	6.92521247137121	6.87723643947381	7.6163448869054	7.31689252296206	7.72654342668173
CAGL0A00539g	6.91973092185765	7.12785259289155	7.30212220402421	7.05866765733607	7.12155805460232	6.98385860073913	7.42842335646722	7.59546282169804	7.27127797234713	7.26643209501651	7.59837009239318	6.59596897878195	7.4599117092432	7.43288458151454	7.32005067622069	7.25901271947841	7.45867059447701	7.22122415204255	7.32758516906984	7.84474086454067	7.24737629768258	7.15706002022522	7.02456142525267	6.61057968493741	7.22595520761311	7.10523318284895	7.06527985735393	7.12493798859988	7.12989764616396	7.09563388380355	7.24533045034075	6.41484715153654	6.4311333995329	6.61838200290672	6.83905734436235	6.70254468625743	6.90739609235796	7.01238174571273	6.96512555634355	6.97491262837783
CAGL0A00561g	4.92505963157686	4.82084234539357	4.90683438837114	4.86261029341482	5.06301410724732	4.9751445805051	5.01248816407985	5.13602874715075	5.3164769930239	5.54421221583166	5.31222906996388	4.17354401995783	5.21220919888155	5.21308152567174	5.47150955039341	5.45004558203015	5.09207099157761	5.36431408499861	4.98562949797959	4.98334816934697	5.45364738434949	5.24823057082977	4.94762345926704	4.58760024249961	5.37133130071332	4.89209822871001	4.92308801127719	5.22566403939163	4.96908642616079	4.53019230445194	4.86451755001924	4.0839998339209	4.32542629600818	4.35161268785777	4.71214641391178	4.43923181835635	4.89156743697035	4.82907786099679	4.86180011642653	4.6725756545817
CAGL0A00583g	4.62294007689565	4.8646741966644	4.97821821898418	5.01214939554365	4.95044983268226	4.92944861055246	4.88209301820664	4.97235024060166	5.05623486410663	5.00862654608061	4.97505688664367	5.67456161216112	5.05768714461437	5.01212575668329	5.29934293179583	5.42654958638398	5.512079316066	5.36712413005423	5.51579922698041	5.68277466764434	5.4945369714106	5.48545206162879	5.39495170919967	5.59596759606967	5.28062987299173	5.06222024354827	5.27509005987572	5.24286740536537	5.46822268263302	5.64649449463638	5.51249376683668	5.03968293276907	5.17109282780967	5.5976568912116	5.65868406855474	5.41547147202767	5.47844409230101	5.14437823761684	5.04639712166323	5.0538642481003
